location,scanned,max_delivered,distinct_job_imb_count,client_company,mailing_name,mailing_status,mailing_date,startTheClockDate,scanFacilityName,JobID,delivery_date,pieceId,latitude,longitude
"90804,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[3093be6f-7f43-11ef-8658-2517b1dfe223],33.7857,-118.1357
"90059,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[1ee60e94-7f41-11ef-bfd0-2556f15225ed],33.9293,-118.2463
"94806,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-09],[5968fff1-7f41-11ef-923b-435d1d1d9489],37.9724,-122.3369
"92336,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[9587c706-7f41-11ef-bfd0-2556f15225ed],34.1173,-117.4378
"90220,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[1d6c06d2-7f43-11ef-80d2-1789a4a4cc59],33.8748,-118.2402
"93436,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[7223b801-7f41-11ef-a87b-25f897c38171],34.6583,-120.4506
"93442,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[3c71afa5-7f41-11ef-9ff2-1b4e638188fc],35.3795,-120.8447
"93265,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[bdef40ba-7f41-11ef-86d9-75b45af40979],36.1363,-118.7961
"92313,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[773af8d3-7f41-11ef-99c1-bfec27fd69fa],34.031,-117.3129
"93110,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[1cf8bd81-7f41-11ef-923b-435d1d1d9489],34.4418,-119.7647
"92562,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[01542bf1-7f41-11ef-af2b-f933d7326eef],33.5631,-117.2738
"91436,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[f7f68ee3-7f40-11ef-80d2-1789a4a4cc59],34.151,-118.4882
"95334,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[8f7c1415-7f41-11ef-9ff2-1b4e638188fc],37.3763,-120.7252
"90063,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[225089c1-7f41-11ef-903c-8dd48f2055d8],34.0451,-118.1859
"90712,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[9bbf1dd1-7f41-11ef-99c1-bfec27fd69fa],33.8512,-118.1457
"90241,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-04],[5c613150-7f41-11ef-923b-435d1d1d9489],33.9416,-118.1306
"92284,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[4899de62-7f41-11ef-9a45-4176d24235ba],34.1559,-116.4313
"91741,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[1ee28c26-7f41-11ef-9a86-437c770800d9],34.1537,-117.8437
"95407,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-10],[610f9e31-7f41-11ef-9a86-437c770800d9],38.4089,-122.7339
